Code;Name;Country;Latitude;Longitude
DXB;Dubai International;United Arab Emirates;25.25;55.35779953
LHR;Heathrow;United Kingdom;51.47140122;-0.452800006
HKG;Hong Kong Intl;Hong Kong (SAR);22.30360031;113.9205017
ICN;Incheon International Airport;South Korea;37.46020126;126.4406967
SIN;Changi;Singapore;1.357800007;103.990799
CDG;Charles De Gaulle;France;49.00970078;2.548599958
AMS;Schiphol;Netherlands;52.30830002;4.768099785
FRA;Frankfurt International Airport;Germany;50.03889847;8.570599556
BKK;Suvarnabhumi - New Bangkok International Airport;Thailand;13.70269966;100.7455978
IST;Istanbul Airport;Turkey;40.97669983;28.81529999
KUL;Kuala Lumpur International Airport;Malaysia;2.745599985;101.7098999
TPE;Taiwan Taoyuan International Airport;Taiwan;25.08259964;121.2285004
DOH;Hamad International Airport;Qatar;25.27440071;51.60829926
MAD;Adolfo Suarez-Barajas;Spain;40.47359848;-3.561100006
MUC;Franz Josef Strauss International;Germany;48.34999847;11.7833004
LGW;Gatwick;United Kingdom;51.14810181;-0.196700007
JFK;John F Kennedy Intl;United States;40.6385994;-73.77690125
PVG;Pudong International;China;31.14389992;121.7913971
BCN;Barcelona;Spain;41.2969017;2.078299999
NRT;Narita;Japan;35.76390076;140.391098
FCO;Fiumicino;Italy;41.8003006;12.23890019
YYZ;Toronto Lester B. Pearson Intl;Canada;43.67969894;-79.625
ZRH;Zurich;Switzerland;47.45830154;8.551699638
VIE;Vienna International;Austria;48.11109924;16.55830002
DUB;Dublin International;Ireland;53.43249893;-6.252200127
PEK;Capital International;China;40.06669998;116.5999985
CPH;Kastrup;Denmark;55.60810089;12.63329983
LAX;Los Angeles Intl;United States;33.94219971;-118.4072037
SVO;Sheremetyevo;Russian Federation;55.98329926;37.41669846
BRU;Brussels Airport;Belgium;50.90140152;4.484399796
LIS;Lisboa;Portugal;38.7818985;-9.133299828
MIA;Miami International;United States;25.79249954;-80.2861023
KIX;Kansai International;Japan;34.42499924;135.2471924
MAN;Manchester Airport;United Kingdom;53.35329819;-2.27670002
MNL;Ninoy Aquino Intl;Philippines;14.50860024;121.0193024
JED;King Abdulaziz Intl;Saudi Arabia;21.67130089;39.15969849
STN;Stansted;United Kingdom;51.88280106;0.233899996
MXP;Malpensa;Italy;45.63280106;8.732199669
TLV;Ben Gurion Intl;Israel;32.0121994;34.8824997
ARN;Arlanda;Sweden;59.66189957;17.93390083
DUS;Duesseldorf International;Germany;51.28110123;6.752799988
AUH;Abu Dhabi Intl;United Arab Emirates;24.43309975;54.64889908
ORY;Orly;France;48.72890091;2.357199907
CAN;Baiyun International;China;23.39249992;113.2996979
MEX;Benito Juarez Intl;Mexico;19.43530083;-99.07279968
PMI;Palma de Mallorca;Spain;39.55360031;2.727799892
HEL;Helsinki-Vantaa;Finland;60.32559967;24.97170067
HND;Tokyo Intl (Haneda);Japan;35.55360031;139.7657929
CAI;Cairo International Airport;Egypt;30.13750076;31.40690041
ATL;Hartsfield-Jackson Int;United States;33.64080048;-84.42720032
EWR;Newark Liberty Intl;United States;40.69580078;-74.17169952
GVA;Geneva International Airport;Switzerland;46.23809815;6.10890007
CUN;Cancun International;Mexico;21.0333004;-86.86669922
DEL;Indira Gandhi Intl;India;28.57360077;77.10079956
SYD;Kingsford Smith;Australia;-33.94419861;151.1757965
DMK;Don Mueang International Airport;Thailand;13.91110039;100.6082993
KWI;Kuwait Intl;Kuwait;29.2303009;47.97529984
OSL;Oslo Airport;Norway;60.20000076;11.08329964
CGK;Soekarno-Hatta Intl;Indonesia;-6.125800133;106.6577988
ATH;Eleftherios Venizelos Airport;Greece;37.93640137;23.94440079
PRG;Ruzyne;Czech Republic;50.09999847;14.26669979
MCT;Muscat International Airport;Oman;23.5916996;58.27920151
WAW;Okecie;Poland;52.16669846;20.9666996
PTY;Tocumen Intl, Panama R;Panama;9.069999695;-79.38359833
SFO;San Francisco Intl;United States;37.61940002;-122.3728027
ORD;O'Hare International;United States;41.97809982;-87.90609741
TXL;Tegel;Germany;52.56060028;13.29559994
SGN;Tan Son Nhat International Airport;Vietnam;10.81719971;106.6577988
LTN;Luton International;United Kingdom;51.87440109;-0.366400003
BUD;Liszt Ferenc International;Hungary;47.43330002;19.23329926
AGP;Malaga Airport;Spain;36.67169952;-4.498099804
IAH;George Bush Intercontinental;United States;29.98329926;-95.33999634
AYT;Antalya;Turkey;36.9056015;30.79059982
YVR;Vancouver Intl;Canada;49.18719864;-123.1853027
GRU;Guarulhos Intl;Brazil;-23.43499947;-46.47280121
SAW;Sabiha Gokcen;Turkey;40.8993988;29.30920029
DPS;Ngurah Rai;Indonesia;-8.748600006;115.1650009
ADD;Bole International;Ethiopia;8.977800369;38.79809952
YUL;Pierre E. Trudeau Intl;Canada;45.46390152;-73.75
RUH;King Khalid Intl;Saudi Arabia;24.95919991;46.69609833
DFW;Dallas/Ft Worth Intl;United States;32.89640045;-97.04109955
BOM;Mumbai (Chhatrapati Shivaji) International;India;19.08810043;72.85169983
OTP;Henri Coanda Airport;Romania;44.56669998;26.10000038
HAM;Hamburg;Germany;53.63389969;9.994999886
ALC;Alicante Airport;Spain;38.28250122;-0.558300018
HAN;Noi Bai International;Vietnam;21.03580093;105.8899994
EZE;Ministro Pistarini;Argentina;-34.8199997;-58.53390122
JNB;O.R. Tambo International Airport;South Africa;-26.14030075;28.24279976
LIM;Jorge Chavez Intl;Peru;-12.02670002;-77.12280273
MEL;Melbourne Airport;Australia;-37.6617012;144.8332977
SCL;Arturo Merino Benitez Airport;Chile;-33.38669968;-70.78500366
AKL;Auckland Intl;New Zealand;-37.01110077;174.7991943
